C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_095.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_095.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_095.jpg, 0, 0, 0, 7.78306E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_161.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_161.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_161.jpg, 0, 0, 0, 7.997358E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_187.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_187.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_187.jpg, 0, 0, 0, 7.938911E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_202.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_202.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_202.jpg, 0, 0, 0, 7.838311E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_222.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_222.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_222.jpg, 0, 0, 0, 7.869808E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_250.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_250.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_250.jpg, 0, 0, 0, 7.882853E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_265.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_265.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_265.jpg, 0, 0, 0, 7.774053E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_284.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_284.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_284.jpg, 0, 0, 0, 7.930924E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_311.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_311.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_311.jpg, 0, 0, 0, 8.202298E-05
C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\center_2016_12_03_14_24_05_328.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\left_2016_12_03_14_24_05_328.jpg, C:\Users\mike.qi\Downloads\simulator-windows-64\IMG\right_2016_12_03_14_24_05_328.jpg, 0, 0, 0, 8.079251E-05
